model,dataset,feature_1,feature_2,interaction
XGB,CIC_IIoT_2025,device_name,network_macs_all,0.0718163400888443
XGB,CIC_IIoT_2025,network_tcp_flags_std_deviation,network_ttl_min,0.061006952077150345
XGB,CIC_IIoT_2025,network_macs_all,network_macs_src,0.05785549804568291
XGB,CIC_IIoT_2025,network_packets_dst_count,device_name,0.05500178411602974
XGB,CIC_IIoT_2025,network_interval_packets,network_macs_src,0.047489896416664124
XGB,CIC_IIoT_2025,network_interval_packets,network_macs_all,0.04652911052107811
XGB,CIC_IIoT_2025,network_interval_packets,network_packets_dst_count,0.04622137174010277
XGB,CIC_IIoT_2025,network_window_size_min,network_window_size_std_deviation,0.04405646026134491
XGB,CIC_IIoT_2025,network_interval_packets,device_name,0.04385291412472725
XGB,CIC_IIoT_2025,device_name,network_macs_src,0.04237199202179909
XGB,CIC_IIoT_2025,network_macs_dst_count,device_name,0.03788645565509796
XGB,CIC_IIoT_2025,network_ttl_std_deviation,device_name,0.03638171777129173
XGB,CIC_IIoT_2025,network_packet_size_min,network_ports_all_count,0.03518771380186081
XGB,CIC_IIoT_2025,network_packets_all_count,network_ttl_min,0.03432011604309082
XGB,CIC_IIoT_2025,network_window_size_min,device_name,0.03339281678199768
XGB,CIC_IIoT_2025,network_packets_all_count,device_name,0.032192107290029526
XGB,CIC_IIoT_2025,network_packets_dst_count,network_macs_src,0.031984955072402954
XGB,CIC_IIoT_2025,network_tcp_flags_avg,device_name,0.031867943704128265
XGB,CIC_IIoT_2025,network_packets_dst_count,network_macs_all,0.031023509800434113
XGB,CIC_IIoT_2025,network_macs_all,network_macs_dst,0.030723579227924347
XGB,IDS2025_Balanced,source_port,destination_port,0.10924940556287766
XGB,IDS2025_Balanced,total_fwd_packets,bwd_packetss,0.10706395655870438
XGB,IDS2025_Balanced,destination_port,init_win_bytes_backward,0.09792030602693558
XGB,IDS2025_Balanced,bwd_packetss,psh_flag_count,0.09210395067930222
XGB,IDS2025_Balanced,destination_port,min_seg_size_forward,0.08297868818044662
XGB,IDS2025_Balanced,destination_port,init_win_bytes_forward,0.07346528023481369
XGB,IDS2025_Balanced,destination_port,fwd_header_length,0.06786937266588211
XGB,IDS2025_Balanced,destination_port,bwd_packetss,0.06619509309530258
XGB,IDS2025_Balanced,total_fwd_packets,psh_flag_count,0.060663849115371704
XGB,IDS2025_Balanced,destination_port,fwd_iat_min,0.049915675073862076
XGB,IDS2025_Balanced,destination_port,fwd_packet_length_mean,0.041030921041965485
XGB,IDS2025_Balanced,fwd_header_length,bwd_packetss,0.037999898195266724
XGB,IDS2025_Balanced,source_port,init_win_bytes_backward,0.034778155386447906
XGB,IDS2025_Balanced,destination_port,bwd_packet_length_min,0.03415248170495033
XGB,IDS2025_Balanced,source_port,bwd_packetss,0.034013815224170685
XGB,IDS2025_Balanced,source_port,init_win_bytes_forward,0.033772192895412445
XGB,IDS2025_Balanced,fwd_packet_length_mean,init_win_bytes_backward,0.031762558966875076
XGB,IDS2025_Balanced,fwd_iat_min,init_win_bytes_backward,0.0297711119055748
XGB,IDS2025_Balanced,bwd_packet_length_min,packet_length_mean,0.029442591592669487
XGB,IDS2025_Balanced,bwd_packet_length_std,bwd_packetss,0.028369873762130737
