model,dataset,split,accuracy,precision,recall,f1,auc_roc,fpr_approx,n_classes,n_test,runtime_train_s
DT,CIC_IIoT_2025,test,0.9825,0.9825,0.9825,0.9825,0.9949,0.0175,8,57521,4.7
DT,CIC_IIoT_2025,val,0.9834,0.9834,0.9834,0.9834,0.9954,0.0166,8,57521,4.6
LR,CIC_IIoT_2025,test,0.8774,0.8785,0.8774,0.8753,0.9539,0.1985,8,57521,91.3
LR,CIC_IIoT_2025,val,0.8743,0.875,0.8743,0.8721,0.9533,0.2008,8,57521,91.1
RF,CIC_IIoT_2025,test,0.9856,0.9856,0.9856,0.9856,0.9986,0.0144,8,57521,5.1
RF,CIC_IIoT_2025,val,0.987,0.987,0.987,0.987,0.9985,0.013,8,57521,4.7
XGB,CIC_IIoT_2025,test,0.9882,0.9882,0.9882,0.9882,0.9997,0.0118,8,57521,7.1
XGB,CIC_IIoT_2025,val,0.9889,0.9889,0.9889,0.9888,0.9997,0.0111,8,57521,6.9
DT,IDS2025_Balanced,test,0.9934,0.9934,0.9934,0.9934,0.9978,0.0066,7,13761,0.9
DT,IDS2025_Balanced,val,0.993,0.993,0.993,0.993,0.9974,0.007,7,13761,0.8
LR,IDS2025_Balanced,test,0.9405,0.9373,0.9405,0.9366,0.909,0.3171,7,13761,21.1
LR,IDS2025_Balanced,val,0.94,0.9366,0.94,0.9363,0.9078,0.3145,7,13761,21.0
RF,IDS2025_Balanced,test,0.9954,0.9954,0.9954,0.9954,0.9998,0.0046,7,13761,1.1
RF,IDS2025_Balanced,val,0.9956,0.9956,0.9956,0.9955,0.9997,0.0044,7,13761,0.9
XGB,IDS2025_Balanced,test,0.996,0.996,0.996,0.9959,0.9999,0.004,7,13761,1.6
XGB,IDS2025_Balanced,val,0.9957,0.9957,0.9957,0.9957,0.9999,0.0043,7,13761,1.6
